3.765743948709379e-12	1.0317688445042158e-07	2.079130137572047e-06	3.0004364824919496e-06	3.9751918999022143e-07	0.002183607371836883	0.0008903942623287078	0.0001911405413048823	0.00027912413560776255	3.8878550856249654e-08	
3.861072354935963e-11	1.0317741055350145e-07	2.0790555473531534e-06	3.0003777995224505e-06	3.975121836651682e-07	0.0021836043654916825	0.0008903972908652209	0.00019114060186310383	0.0002791241577649733	3.8878552536755484e-08	
1.3336192084489336e-10	1.0319300864635401e-07	2.078947921964377e-06	3.0002714330812215e-06	3.9750085113251176e-07	0.002183599348978061	0.0008904022849668075	0.00019114070240269006	0.0002791241946097031	3.8878555333547434e-08	
3.0922150656566066e-10	1.031673957894491e-07	2.078874223477456e-06	3.0001205862015483e-06	3.974861286193762e-07	0.0021835923625883823	0.0008904091689717257	0.0001911408423851394	0.0002791242460292905	3.887855924125756e-08	
3.900603320597395e-10	1.0315846110724865e-07	2.0789734221356357e-06	2.9999456573596326e-06	3.9746840589477856e-07	0.002183583466858508	0.0008904178417109316	0.000191141021078248	0.00027912431187058004	3.8878564252593815e-08	
2.388874221552926e-10	1.0322799598356534e-07	2.0793294317291966e-06	2.9998016052390004e-06	3.9744762083704775e-07	0.002183572722885345	0.0008904281796025549	0.00019114123755295938	0.0002791243919369755	3.8878570358147793e-08	
2.059873869924025e-10	1.0315721808844992e-07	2.0798076324529557e-06	2.9997754608899415e-06	3.9742371991750197e-07	0.0021835601893261747	0.0008904400414659018	0.00019114149070739565	0.00027912448599365104	3.887857754665464e-08	
4.797245621129772e-10	1.0312120769202777e-07	2.0800404041985437e-06	2.999959299830321e-06	3.973971409178662e-07	0.0021835459327406207	0.0008904532739211486	0.0001911417792924419	0.00027912459377218106	3.88785858051936e-08	
1.3090129729740551e-09	1.0328242914161784e-07	2.0796581537265606e-06	3.000409218237882e-06	3.9736913718631047e-07	0.002183530017347587	0.0008904677153148485	0.00019114210191267708	0.00027912471496790905	3.887859511900067e-08	
3.3526577204005424e-09	1.0314869749784087e-07	2.078654336091457e-06	3.0011028048014803e-06	3.9734195254119097e-07	0.0021835124711670297	0.0008904831995813883	0.00019114245704370528	0.0002791248492431738	3.887860547161938e-08	
